task_name,language_name,llm_model,compilation_status,runtime_errors_count,correct_response_score,compilation_status_score,runtime_errors_score,execution_time_sec,execution_time_score,line_coverage_score,branch_coverage_score,assertions_mccabe_ratio_score,assertions_density_score,warnings_count_score,timeout_occurred
100 doors,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5581881999969482,0.9813937266667684,0.8293,0.8033,0.0,0.15053763440860216,0.9762611275964391,False
100 prisoners,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5292301177978516,0.9823589960734049,0.3804,0.375,0.026060606060606062,0.26881720430107525,0.9347181008902077,False
24 game,Python,deepseek_coder,CompileStatus.SYNTAX_ERROR,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.9970326409495549,
24 game/Solve,Python,deepseek_coder,CompileStatus.SYNTAX_ERROR,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.9970326409495549,
A+B,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5159430503845215,0.9828018983205159,0.9309999999999999,0.9167000000000001,0.0,0.16129032258064516,0.9020771513353116,False
ABC problem,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5869109630584717,0.9804363012313843,0.8545,0.8261,0.15151515151515152,0.6881720430107526,0.9673590504451038,False
AKS test for primes,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6853902339935303,0.9771536588668823,0.13849999999999998,0.1333,0.23242424242424242,0.9354838709677419,0.8486646884272997,False
"Abbreviations, automatic",Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8714759349822998,0.9709508021672567,0.10710000000000001,0.09210000000000002,0.022727272727272728,0.1827956989247312,0.9703264094955489,False
"Abbreviations, easy",Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.716663122177124,0.9761112292607625,0.9286,0.9186,0.033030303030303035,0.2903225806451613,0.9703264094955489,False
"Abbreviations, simple",Python,deepseek_coder,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
Abundant odd numbers,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,15.426315069198608,0.48578949769337976,0.0,0.0,0.06818181818181818,0.21505376344086022,0.9792284866468842,False
Active object,Python,deepseek_coder,CompileStatus.OK,,1,1,0,,0.0,0.0,0.0,0.007575757575757576,0.08602150537634408,0.9792284866468842,True
Additive primes,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.4358141422271728,0.9854728619257609,0.9873999999999999,0.9777,0.2727272727272727,0.9462365591397849,0.9673590504451038,False
Almost prime,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7113931179046631,0.9762868960698445,0.0652,0.0429,0.06060606060606061,0.21505376344086022,0.9762611275964391,False
Amicable pairs,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7153017520904541,0.9761566082636516,0.10339999999999999,0.0638,0.02515151515151515,0.15053763440860216,0.9584569732937686,False
Anagrams/Deranged anagrams,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6341049671173096,0.9788631677627564,0.6351,0.5672999999999999,0.012727272727272726,0.10752688172043011,0.9614243323442137,False
Angle difference between two bearings,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8127610683441162,0.9729079643885294,0.47619999999999996,0.5,0.18181818181818182,0.6774193548387096,0.9881305637982196,False
"Angles (geometric), normalization and conversion",Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8048722743988037,0.9731709241867066,0.8779,0.8917,0.20212121212121212,0.8064516129032258,0.9465875370919882,False
Animation,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.06374192237854,0.9645419359207154,0.0571,0.0513,0.030303030303030304,0.1935483870967742,0.9554896142433235,False
Apply a callback to an array,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8315279483795166,0.9722824017206828,0.3,0.3103,0.18181818181818182,0.21505376344086022,0.9703264094955489,False
Apply a digital filter (direct form II transposed),Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.5457849502563477,0.9484738349914551,0.5517,0.5143,0.0,0.08602150537634408,0.973293768545994,False
Archimedean spiral,Python,deepseek_coder,,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
Arithmetic-geometric mean/Calculate Pi,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6746470928192139,0.9775117635726929,0.5778,0.5882000000000001,0.0,0.3225806451612903,0.9258160237388724,False
Assertions,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6720728874206543,0.9775975704193115,0.7333,0.7368000000000001,0.0,0.3548387096774194,0.9881305637982196,False
Associative array/Merging,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6105880737304688,0.9796470642089844,0.8684000000000001,0.85,0.0,0.12903225806451613,0.9792284866468842,False
Average loop length,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.024054765701294,0.9658648411432902,0.8852,0.8493,0.1090909090909091,0.5053763440860215,0.9792284866468842,False
Averages/Mean time of day,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6724750995635986,0.97758416334788,0.9608,0.9384999999999999,0.030303030303030304,0.2258064516129032,0.973293768545994,False
Averages/Pythagorean means,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6088259220123291,0.9797058025995891,0.9722,0.95,0.08333333333333333,0.4946236559139785,0.9821958456973294,False
Averages/Simple moving average,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6626598834991455,0.9779113372166951,0.9661,0.9551999999999999,0.24242424242424243,0.5376344086021505,0.9614243323442137,False
Barnsley fern,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,2.425384283065796,0.9191538572311402,0.7176,0.6729,0.10242424242424242,0.5483870967741935,0.9821958456973294,False
Base64 decode data,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6674590110778809,0.977751366297404,0.8462000000000001,0.8438,0.0,0.1827956989247312,0.973293768545994,False
Benford's law,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.656872034072876,0.9781042655309041,0.8065000000000001,0.75,0.019393939393939394,0.2258064516129032,0.9703264094955489,False
Best shuffle,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6524591445922852,0.9782513618469239,0.7209,0.6984,0.027272727272727275,0.3010752688172043,0.9881305637982196,False
Binary strings,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.715430736541748,0.9761523087819417,0.9804,0.9623,0.0,0.31182795698924726,0.9020771513353116,False
Bitcoin/address validation,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7721269130706787,0.9742624362309774,0.9773000000000001,0.96,0.05303030303030303,0.25806451612903225,0.9703264094955489,False
Box the compass,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8697421550750732,0.9710085948308309,0.4493,0.4568,0.5606060606060606,0.8494623655913979,0.9792284866468842,False
Brownian tree,Python,deepseek_coder,,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
CSV data manipulation,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6645200252532959,0.9778493324915568,0.7626999999999999,0.7528,0.0,0.12903225806451613,0.973293768545994,False
CUSIP,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6176910400390625,0.9794102986653646,0.8214,0.7667,0.03363636363636364,0.3870967741935484,0.9792284866468842,False
Cartesian product of two or more lists,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6103470325469971,0.9796550989151,0.7826000000000001,0.6897,0.21212121212121213,0.3763440860215053,0.9703264094955489,False
Catalan numbers,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5901031494140625,0.9803298950195313,0.8,0.7631999999999999,0.00696969696969697,0.16129032258064516,0.9703264094955489,False
Chaos game,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.486130952835083,0.9504623015721639,0.8416,0.8288,0.0393939393939394,0.3440860215053763,0.9584569732937686,False
Check Machin-like formulas,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7507431507110596,0.9749752283096313,0.0727,0.0533,0.005151515151515152,0.11827956989247311,0.9792284866468842,False
Check that file exists,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6728413105010986,0.9775719563166301,0.5909,0.5832999999999999,0.0,0.4408602150537634,0.9673590504451038,False
